5-MCDG_1	5-MCDG	thymine DNA glycosylase 
A4GALT_1	A4GALT	alpha 1,4-galactosyltransferase 
AACS_1	AACS	Acetoacetyl-CoA synthetase 
AADAT_1	AADAT	aminoadipate aminotransferase 
AAGAB_1	AAGAB	alpha and gamma adaptin binding protein 
AAMDC_1	AAMDC	adipogenesis associated Mth938 domain containing 
AAMP_1	AAMP	angio associated migratory cell protein 
AAMP_2	AAMP	angio associated migratory cell protein 
AANAT_1	AANAT	aralkylamine N-acetyltransferase 
AAR2_1	AAR2	AAR2 splicing factor homolog 
AARS2_1	AARS2	alanyl-tRNA synthetase 2, mitochondrial 
AARSD1_1	AARSD1	alanyl-tRNA synthetase domain containing 1 
AARS_1	AARS	alanyl-tRNA synthetase, cytoplasmic 
AASDHPPT_1	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase 
AATF_1	AATF	Protein AATF 
ABCA1_1	ABCA1	
ABCA3_1	ABCA3	ATP binding cassette subfamily A member 3 
ABCA5_1	ABCA5	ATP binding cassette subfamily A member 5 
ABCC1_1	ABCC1	ATP binding cassette subfamily C member 1 
ABCC3_1	ABCC3	ATP binding cassette subfamily C member 3 
ABCC4_1	ABCC4	ATP binding cassette subfamily C member 4 
ABCD3_1	ABCD3	ATP binding cassette subfamily D member 3 
ABCD4_1	ABCD4	ATP binding cassette subfamily D member 4 
ABCF2_1	ABCF2	ATP binding cassette subfamily F member 2 
ABHD11_1	ABHD11	abhydrolase domain containing 11 
ABHD12_1	ABHD12	abhydrolase domain containing 12 
ABHD13_1	ABHD13	abhydrolase domain containing 13 
ABHD17B_1	ABHD17B	
ABHD17C_1	ABHD17C	abhydrolase domain containing 17C 
ABHD18_1	ABHD18	abhydrolase domain containing 18 
ABHD1_1	ABHD1	abhydrolase domain containing 1 
ABHD3_1	ABHD3	abhydrolase domain containing 3 
ABHD5_1	ABHD5	abhydrolase domain containing 5 
ABHD6_1	ABHD6	abhydrolase domain containing 6 
ABHD6_2	ABHD6	abhydrolase domain containing 6 
ABI1_1	ABI1	abl interactor 1 
ABRACL_1	ABRACL	ABRA C-terminal like 
ABRAXAS1_1	ABRAXAS1	abraxas 1, BRCA1 A complex subunit 
ABTB1_1	ABTB1	ankyrin repeat and BTB domain containing 1 
ACAA1_1	ACAA1	acetyl-CoA acyltransferase 1 
ACAA2_1	ACAA2	
ACACA_1	ACACA	acetyl-CoA carboxylase alpha 
ACAD11_1	ACAD11	acyl-CoA dehydrogenase family member 11 
ACAD8_1	ACAD8	acyl-CoA dehydrogenase family member 8 
ACAD9_1	ACAD9	acyl-CoA dehydrogenase family member 9 
ACADL_1	ACADL	acyl-CoA dehydrogenase long chain 
ACADS_1	ACADS	acyl-CoA dehydrogenase short chain 
ACAT1_1	ACAT1	acetyl-CoA acetyltransferase 1 
ACAT2_1	ACAT2	acetyl-CoA acetyltransferase 2 
ACBD3_1	ACBD3	acyl-CoA binding domain containing 3 
ACBD6_1	ACBD6	acyl-CoA binding domain containing 6 
ACBD7_1	ACBD7	acyl-CoA binding domain containing 7 
ACER2_1	ACER2	
ACER3_1	ACER3	alkaline ceramidase 3 
ACKR3_1	ACKR3	atypical chemokine receptor 3 
ACLY_1	ACLY	ATP citrate lyase 
ACO1_1	ACO1	
ACO2_1	ACO2	aconitase 2 
ACOT11_1	ACOT11	acyl-CoA thioesterase 11 
ACOT13_1	ACOT13	acyl-CoA thioesterase 13 
ACOT7_1	ACOT7	acyl-CoA thioesterase 7 
ACOT8_1	ACOT8	acyl-CoA thioesterase 8 
ACOT9_1	ACOT9	acyl-CoA thioesterase 9 
ACOX1_1	ACOX1	acyl-CoA oxidase 1 
ACOX3_1	ACOX3	acyl-CoA oxidase 3, pristanoyl 
ACP1_1	ACP1	acid phosphatase 1 
ACP2_1	ACP2	acid phosphatase 2, lysosomal 
ACP6_1	ACP6	lysophosphatidic acid phosphatase type 6 isoform 1 precursor 
ACSBG1_1	ACSBG1	acyl-CoA synthetase bubblegum family member 1 
ACSBG2_1	ACSBG2	acyl-CoA synthetase bubblegum family member 2 
ACSF2_1	ACSF2	acyl-CoA synthetase family member 2 
ACSL1_1	ACSL1	acyl-CoA synthetase long chain family member 1 
ACTA1_1	ACTA1	Actin, alpha skeletal muscle 
ACTB_1	ACTB	actin beta 
ACTC1_1	ACTC1	actin, alpha, cardiac muscle 1 
ACTG2_1	ACTG2	Actin, gamma-enteric smooth muscle 
ACTL6A_1	ACTL6A	actin like 6A 
ACTN1_1	ACTN1	Alpha-actinin-1 
ACTN2_1	ACTN2	Alpha-actinin-2 
ACTR1A_1	ACTR1A	ARP1 actin related protein 1 homolog A 
ACTR2_1	ACTR2	Actin-related protein 2 
ACTR3_1	ACTR3	ARP3 actin related protein 3 homolog 
ACTR5_1	ACTR5	ARP5 actin related protein 5 homolog 
ACTR6_1	ACTR6	Actin-related protein 6 
ACTR6_2	ACTR6	Actin-related protein 6 
ACTR8_1	ACTR8	ARP8 actin related protein 8 homolog 
ACTR8_2	ACTR8	ARP8 actin related protein 8 homolog 
ACVR1B_1	ACVR1B	activin A receptor type 1B 
ACVR1_1	ACVR1	Activin receptor type-1 
ACVR2A_1	ACVR2A	activin A receptor type 2A 
ACVR2B_1	ACVR2B	activin A receptor type 2B 
ACYP1_1	ACYP1	acylphosphatase 1 
ACYP2_1	ACYP2	acylphosphatase 2 
ACYP2_2	ACYP2	acylphosphatase 2 
ADAL_1	ADAL	adenosine deaminase like 
ADAM10_1	ADAM10	ADAM metallopeptidase domain 10 
ADAM12_1	ADAM12	ADAM metallopeptidase domain 12 
ADAM17_1	ADAM17	ADAM metallopeptidase domain 17 
ADAM9_1	ADAM9	ADAM metallopeptidase domain 9 
ADAMDEC1_1	ADAMDEC1	ADAM like decysin 1 
ADARB1_1	ADARB1	adenosine deaminase, RNA specific B1 
ADAT1_1	ADAT1	adenosine deaminase, tRNA specific 1 
ADA_1	ADA	adenosine deaminase 
ADCK1_1	ADCK1	aarF domain containing kinase 1 
ADCY2_1	ADCY2	adenylate cyclase 2 
ADCY5_1	ADCY5	adenylate cyclase 5 
ADCY9_1	ADCY9	adenylate cyclase 9 
ADD1_1	ADD1	adducin 1 
ADD3_1	ADD3	adducin 3 
ADGRG6_1	ADGRG6	adhesion G protein-coupled receptor G6 
ADGRL3_1	ADGRL3	adhesion G protein-coupled receptor L3 
ADH5_1	ADH5	alcohol dehydrogenase 5 , chi polypeptide 
ADH5_2	ADH5	alcohol dehydrogenase 5 , chi polypeptide 
ADHFE1_1	ADHFE1	alcohol dehydrogenase, iron containing 1 
ADI1_1	ADI1	acireductone dioxygenase 1 
ADIPOR2_1	ADIPOR2	adiponectin receptor 2 
ADIPOR2_2	ADIPOR2	adiponectin receptor 2 
ADK_1	ADK	adenosine kinase 
ADMP_1	ADMP	anti-dorsalizing morphogenetic protein precursor 
ADPGK_1	ADPGK	ADP dependent glucokinase 
ADPRHL1_1	ADPRHL1	ADP-ribosylhydrolase like 1 
ADPRHL2_1	ADPRHL2	ADP-ribosylhydrolase like 2 
ADPRH_1	ADPRH	ADP-ribosylarginine hydrolase 
ADRM1_1	ADRM1	adhesion regulating molecule 1 
ADSL_1	ADSL	adenylosuccinate lyase 
AFG1L_1	AFG1L	AFG1 like ATPase 
AGA_1	AGA	aspartylglucosaminidase 
AGBL5_1	AGBL5	ATP/GTP binding protein like 5 
AGK_1	AGK	acylglycerol kinase 
AGMAT_1	AGMAT	agmatinase 
AGO1_1	AGO1	argonaute 1, RISC catalytic component 
AGO3_1	AGO3	argonaute 3, RISC catalytic component 
AGO4_1	AGO4	Protein argonaute-4 
AGO4_2	AGO4	Protein argonaute-4 
AGPAT3_1	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 
AGPAT4_1	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 
AGPAT5_1	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 
AGR2_1	AGR2	anterior gradient 2, protein disulphide isomerase family member 
AGRN_1	AGRN	agrin 
AGTR1_1	AGTR1	Type-1 angiotensin II receptor 
AGTRAP_1	AGTRAP	angiotensin II receptor associated protein 
AGT_1	AGT	angiotensinogen 
AHCTF1_1	AHCTF1	AT-hook containing transcription factor 1 
AHCYL1_1	AHCYL1	adenosylhomocysteinase like 1 
AHCY_1	AHCY	adenosylhomocysteinase 
AHSA1_1	AHSA1	activator of HSP90 ATPase activity 1 
AIFM1_1	AIFM1	apoptosis-inducing factor 1, mitochondrial 
AIFM2_1	AIFM2	apoptosis inducing factor, mitochondria associated 2 
AIG1_1	AIG1	androgen induced 1 
AIMP1_1	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 
AIMP2_1	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 
AIP_1	AIP	aryl hydrocarbon receptor interacting protein 
AIRC_1	AIRC	Multifunctional protein ADE2 Phosphoribosylaminoimidazole-succinocarboxamide synthase Phosphoribosylaminoimidazole carboxylase 
AK1_1	AK1	adenylate kinase 1 
AK2_1	AK2	adenylate kinase 2 
AK3_1	AK3	
AK6_1	AK6	
AKAIN1_1	AKAIN1	A-kinase anchor inhibitor 1 
AKAP17A_1	AKAP17A	A-kinase anchoring protein 17A 
AKAP1_1	AKAP1	A-kinase anchoring protein 1 
AKAP1_2	AKAP1	A-kinase anchoring protein 1 
AKAP6_1	AKAP6	A-kinase anchoring protein 6 
AKAP6_2	AKAP6	A-kinase anchoring protein 6 
AKIRIN2_1	AKIRIN2	akirin 2 
AKR1A1_1	AKR1A1	aldo-keto reductase family 1 member A1 
AKR1A1_2	AKR1A1	aldo-keto reductase family 1 member A1 
AKR1B1L_1	AKR1B1L	Gallus gallus aldo-keto reductase family 1, member B1-like , mRNA. 
AKR1B1L_2	AKR1B1L	Gallus gallus aldo-keto reductase family 1, member B1-like , mRNA. 
AKR1B1_1	AKR1B1	aldo-keto reductase family 1, member B10 
AKR1D1_1	AKR1D1	aldo-keto reductase family 1 member D1 
AKT1_1	AKT1	AKT serine/threonine kinase 1 
AKT3_1	AKT3	AKT serine/threonine kinase 3 
AKTIP_1	AKTIP	AKT-interacting protein 
ALAD_1	ALAD	aminolevulinate dehydratase 
ALAS1_1	ALAS1	5'-aminolevulinate synthase 1 
ALB_1	ALB	albumin 
ALCAM_1	ALCAM	activated leukocyte cell adhesion molecule 
ALDH1A1_1	ALDH1A1	
ALDH1A1_2	ALDH1A1	
ALDH1A2_1	ALDH1A2	Retinal dehydrogenase 2 
ALDH3A1_1	ALDH3A1	aldehyde dehydrogenase 3 family member A1 
ALDH4A1_1	ALDH4A1	aldehyde dehydrogenase 4 family member A1 
ALDH5A1_1	ALDH5A1	aldehyde dehydrogenase 5 family member A1 
ALDH6_1	ALDH6	aldehyde dehydrogenase 1 family member A3 
ALDH7A1_1	ALDH7A1	
ALDH8A1_1	ALDH8A1	aldehyde dehydrogenase 8 family member A1 
ALDOB_1	ALDOB	
ALDOC_1	ALDOC	aldolase, fructose-bisphosphate C 
ALG12_1	ALG12	ALG12, alpha-1,6-mannosyltransferase 
ALG14_1	ALG14	ALG14, UDP-N-acetylglucosaminyltransferase subunit 
ALG5_1	ALG5	ALG5, dolichyl-phosphate beta-glucosyltransferase 
ALG6_1	ALG6	ALG6, alpha-1,3-glucosyltransferase 
ALG6_2	ALG6	ALG6, alpha-1,3-glucosyltransferase 
ALG8_1	ALG8	ALG8, alpha-1,3-glucosyltransferase 
ALKBH1_1	ALKBH1	alkB homolog 1, histone H2A dioxygenase 
ALKBH2_1	ALKBH2	alpha-ketoglutarate-dependent dioxygenase alkB homolog 2 isoform 1 
ALKBH5_1	ALKBH5	alkB homolog 5, RNA demethylase 
