#Name	TATA-box	Inr	CCAAT-box	GC-box
RNPC3_1	0	0	0	1
PPA2_2	0	0	0	0
NRN1_1	0	0	0	1
SNF8_1	0	0	1	1
GUF1_1	0	0	0	0
PEX12_1	0	1	0	1
C12orf49_1	0	0	0	1
BUB3_1	0	0	1	0
NOV_1	1	1	0	1
ATP13A2_1	0	0	0	1
NPB_1	1	0	0	1
NME7_1	0	0	0	0
ABCA3_1	0	0	0	0
SNRNP35_1	0	0	0	0
USB1_2	0	0	0	1
B2M_1	0	1	0	0
KLHL20_1	0	0	0	1
SLC15A1_1	1	0	0	1
FRZB_1	0	0	0	1
TRPC4_1	0	0	0	0
CHEK1_1	0	0	0	1
ABCD4_1	0	0	0	0
NEK3_1	0	0	0	0
FKBP9_1	0	1	0	1
MTM1_1	0	1	0	0
MFSD11_1	0	0	0	0
TRMT11_1	0	0	1	1
MGME1_1	0	1	0	1
SLC13A5_1	1	0	0	1
APCDD1_1	1	0	0	0
CNN3_1	0	0	0	1
TNIK_1	0	0	0	0
STARD3NL_1	0	0	0	0
TMEM50B_1	0	0	0	1
SLC35B1_1	0	0	0	0
GALE_1	0	0	0	0
CTDSPL_2	0	0	0	0
SLC37A3_1	0	1	0	1
RGS3_1	0	1	0	0
AP2M1_1	0	1	0	1
TRIM59_1	0	0	0	1
PFN2_1	0	0	0	1
ATOX1_1	0	0	0	0
HPS3_1	0	0	0	1
PRLH_1	0	0	0	0
SLC35A4_1	0	0	0	1
PCDH10_1	0	0	0	0
COX15_1	0	1	0	1
DLX5_1	0	1	1	0
VPS39_1	0	0	0	1
PCDHA3_1	0	0	0	0
SNRPG_1	0	1	1	1
SEMA6A_1	0	1	0	0
KCNJ11_1	0	0	0	0
PTK7_1	0	0	0	0
E2F5_1	0	0	0	0
PPARD_1	0	1	1	1
NDUFS1_1	0	0	0	1
PTPRZ1_1	0	1	0	0
SLC35B3_1	0	1	0	0
TAF13_1	0	0	0	0
LMBRD1_1	1	0	0	0
MARCH5_1	0	0	0	1
Six1_1	0	0	0	1
ZYX_1	0	1	0	0
INF2_1	0	1	0	0
SFRP4_1	0	0	0	1
C2orf76_1	0	0	1	0
TMEM94_2	1	0	0	0
PIK3CB_1	0	0	0	1
RP4-613B23_1	1	1	1	1
ECE-1_1	0	0	0	1
TOP3A_1	0	0	0	1
SYNDIG1L_1	0	0	0	0
CENPM_1	0	1	0	0
HSPB1_1	1	1	0	0
GHITM_1	0	1	0	1
SASH3_1	0	0	0	0
TIMM13_1	0	1	0	0
PDDC1_1	0	0	0	0
PDXP_1	0	0	0	1
MASP2_1	1	1	0	0
ADSL_1	0	0	1	1
HHEX_1	0	0	1	0
TTC8_1	0	0	0	0
LHX2_1	1	0	1	0
AK3_1	0	0	0	0
INO80_1	0	0	0	0
IRG1_1	1	0	0	1
PDCD6_1	0	0	0	1
CPSF2_1	0	0	0	0
LRP5_1	0	1	0	0
EMC3_1	0	0	0	0
WDR82_1	0	0	0	1
CNEP1R1_1	0	0	1	1
PADI3_1	1	1	0	0
HGD_1	0	1	0	0
KIF2A_1	0	0	0	1
REXO2_1	0	1	0	1
SMC5_1	0	0	1	0
CACNG5_2	0	0	0	0
JPT1_1	1	0	1	0
